Postcode,No. People,% Population,Population
0800,269,3.45%,7798
0810,2113,5.54%,38119
0812,1479,7.10%,20829
0820,1168,5.21%,22405
0822,381,1.30%,29270
0828,81,4.36%,1859
0829,,,2217
0830,1007,4.95%,20342
0832,657,3.12%,21087
0834,21,1.23%,1713
0835,121,3.83%,3158
0836,206,2.53%,8143
0837,33,2.73%,1209
0838,26,6.67%,390
0839,87,15.73%,553
0841,31,4.38%,708
0845,,,424
0846,15,6.25%,240
0847,25,7.27%,344
0850,847,9.96%,8503
0852,635,6.86%,9263
0853,,,1033
0854,61,9.08%,672
0860,312,10.09%,3092
0862,15,2.35%,638
0870,2677,11.79%,22708
0872,379,2.64%,14341
0873,55,1.83%,3004
0874,,,150
0875,145,5.41%,2679
0880,154,2.90%,5314
0885,37,4.87%,760
0886,64,8.27%,774
2000,692,2.27%,30479
2007,128,1.63%,7862
2008,129,1.17%,11044
2009,344,2.53%,13596
2010,729,2.58%,28271
2011,444,2.40%,18529
2015,229,1.90%,12044
2016,560,4.07%,13752
2017,777,2.49%,31239
2018,1041,4.86%,21414
2019,547,3.82%,14306
2020,657,2.84%,23125
2021,318,2.03%,15695
2022,391,2.91%,13439
2023,271,2.40%,11304
2024,279,2.27%,12312
2025,175,2.20%,7955
2026,787,2.28%,34569
2027,248,2.96%,8370
2028,140,2.88%,4866
2029,298,2.85%,10466
2030,393,2.52%,15589
2031,917,2.57%,35747
2032,622,4.02%,15486
2033,381,3.04%,12515
2034,532,2.52%,21120
2035,1514,4.04%,37459
2036,1590,4.37%,36359
2037,528,3.02%,17481
2038,229,2.24%,10225
2039,231,2.57%,8980
2040,787,3.15%,25002
2041,423,2.62%,16167
2042,494,2.47%,19963
2043,230,2.17%,10583
2044,329,3.74%,8787
2045,408,6.12%,6662
2046,1297,4.54%,28551
2047,416,3.22%,12910
2048,239,3.03%,7896
2049,478,3.70%,12903
2050,185,1.79%,10353
2060,419,2.73%,15338
2061,226,3.34%,6761
2062,190,2.46%,7726
2063,176,2.61%,6743
2064,378,3.77%,10034
2065,926,2.74%,33826
2066,1053,2.93%,35899
2067,1146,3.93%,29182
2068,614,3.35%,18315
2069,516,3.43%,15056
2070,479,3.12%,15377
2071,501,3.35%,14950
2072,258,2.74%,9423
2073,603,3.29%,18336
2074,823,3.33%,24701
2075,814,3.48%,23417
2076,954,3.64%,26190
2077,1844,4.07%,45263
2079,355,4.28%,8296
2080,61,3.38%,1807
2081,220,3.79%,5810
2082,213,3.98%,5353
2083,76,4.85%,1568
2084,150,3.70%,4056
2085,492,4.20%,11719
2086,536,3.45%,15523
2087,516,3.78%,13634
2088,671,2.23%,30060
2089,279,2.29%,12167
2090,346,2.41%,14331
2092,187,2.37%,7882
2093,590,2.35%,25059
2094,128,1.99%,6425
2095,364,2.04%,17858
2096,327,2.12%,15441
2097,495,2.89%,17107
2099,1543,3.49%,44155
2100,854,3.49%,24476
2101,599,2.80%,21377
2102,242,2.68%,9034
2103,369,3.18%,11590
2104,166,3.08%,5390
2105,28,2.80%,1001
2106,229,2.20%,10410
2107,375,2.27%,16541
2108,30,1.77%,1694
2110,365,3.54%,10297
2111,604,3.76%,16076
2112,1831,4.45%,41154
2113,1113,3.73%,29864
2114,1236,4.62%,26763
2115,732,5.31%,13797
2116,454,5.97%,7600
2117,1319,5.32%,24775
2118,1612,5.40%,29875
2119,447,3.44%,13000
2120,977,4.37%,22338
2121,1464,4.05%,36173
2122,1797,5.49%,32731
2125,906,5.26%,17219
2126,1088,5.47%,19902
2127,645,2.56%,25195
2128,125,3.21%,3890
2130,282,3.68%,7654
2131,1167,4.83%,24152
2132,653,5.69%,11469
2133,751,6.35%,11832
2134,787,4.08%,19273
2135,1191,4.44%,26799
2136,501,5.90%,8492
2137,1348,4.55%,29627
2138,695,3.27%,21245
2140,837,3.56%,23484
2141,2150,6.21%,34595
2142,2081,6.80%,30596
2143,729,6.80%,10724
2144,3003,7.10%,42282
2145,6226,6.54%,95207
2146,1402,6.84%,20484
2147,3019,7.47%,40412
2148,5581,7.71%,72426
2150,1655,4.46%,37149
2151,1260,5.63%,22392
2152,672,5.32%,12636
2153,3356,5.05%,66492
2154,2054,4.65%,44179
2155,3328,4.03%,82567
2156,617,4.40%,14034
2157,189,4.37%,4328
2158,455,4.85%,9391
2159,215,4.17%,5151
2160,2966,6.91%,42953
2161,2758,7.35%,37531
2162,1567,6.94%,22585
2163,991,8.37%,11834
2164,2047,8.87%,23089
2165,4489,9.20%,48813
2166,4376,7.56%,57919
2167,792,7.09%,11174
2168,3976,8.31%,47855
2170,8942,7.23%,123608
2171,2375,5.53%,42972
2172,152,5.00%,3037
2173,770,5.02%,15336
2174,431,3.26%,13214
2175,148,7.67%,1930
2176,4618,8.65%,53390
2177,1499,8.03%,18671
2178,303,6.92%,4377
2179,900,5.12%,17587
2190,2391,7.75%,30841
2191,513,7.19%,7136
2192,1096,7.54%,14538
2193,998,5.30%,18846
2194,1732,6.27%,27642
2195,2492,8.36%,29807
2196,2665,7.47%,35686
2197,762,6.74%,11302
2198,672,6.54%,10281
2199,1448,6.84%,21167
2200,3462,6.67%,51906
2203,666,4.66%,14289
2204,1503,5.31%,28325
2205,989,3.57%,27712
2206,1360,6.49%,20949
2207,1938,6.24%,31063
2208,863,6.41%,13457
2209,1021,6.13%,16667
2210,2139,6.10%,35070
2211,1113,5.78%,19250
2212,1190,6.24%,19077
2213,1275,5.09%,25038
2214,235,5.48%,4290
2216,1719,5.91%,29110
2217,1478,4.94%,29909
2218,944,5.57%,16954
2219,775,5.26%,14742
2220,1833,5.04%,36376
2221,816,4.51%,18099
2222,707,5.06%,13985
2223,891,3.89%,22902
2224,749,4.86%,15409
2225,176,2.83%,6220
2226,470,3.49%,13473
2227,609,3.60%,16915
2228,923,4.17%,22115
2229,1143,3.40%,33638
2230,880,2.72%,32350
2231,108,4.07%,2655
2232,1426,3.84%,37160
2233,1223,3.81%,32065
2234,1448,4.56%,31783
2250,3663,4.84%,75702
2251,1562,4.38%,35639
2256,1058,6.16%,17185
2257,1687,5.26%,32091
2258,222,4.23%,5246
2259,4335,6.09%,71186
2260,806,2.93%,27464
2261,2971,5.06%,58756
2262,1575,6.78%,23247
2263,1834,6.73%,27231
2264,1092,6.38%,17114
2265,406,5.19%,7816
2267,179,5.79%,3090
2278,163,6.67%,2443
2280,1486,5.24%,28381
2281,908,5.82%,15603
2282,818,4.79%,17084
2283,1694,6.55%,25850
2284,844,6.24%,13536
2285,2081,5.78%,36001
2286,320,6.71%,4770
2287,2507,5.69%,44035
2289,938,4.20%,22356
2290,1952,5.33%,36636
2291,453,2.91%,15558
2292,106,4.29%,2468
2293,109,3.11%,3506
2294,94,4.18%,2250
2295,515,5.94%,8669
2296,68,3.27%,2080
2297,81,4.06%,1997
2298,515,5.05%,10190
2299,679,5.11%,13291
2300,373,2.99%,12467
2302,66,4.17%,1581
2303,502,4.79%,10482
2304,1008,6.04%,16689
2305,623,4.55%,13692
2306,347,10.44%,3324
2307,292,5.91%,4942
2308,,,1565
2311,52,5.62%,926
2312,90,4.93%,1825
2315,938,5.68%,16522
2316,434,6.27%,6922
2317,483,7.40%,6526
2318,865,5.93%,14578
2319,646,9.02%,7159
2320,2399,5.72%,41976
2321,1118,5.36%,20842
2322,1561,6.19%,25211
2323,1848,6.72%,27519
2324,1911,7.19%,26588
2325,2211,6.70%,33018
2326,609,7.43%,8192
2327,711,8.65%,8217
2328,148,7.66%,1933
2329,165,7.08%,2332
2330,1172,5.11%,22952
2333,1011,7.08%,14283
2334,230,5.81%,3958
2335,428,4.92%,8697
2336,183,6.14%,2979
2337,460,5.62%,8183
2338,98,7.52%,1304
2339,47,6.76%,695
2340,2934,5.31%,55304
2341,194,11.76%,1650
2342,17,5.06%,336
2343,333,6.63%,5022
2344,34,5.11%,665
2345,35,4.40%,796
2346,221,8.38%,2637
2347,143,9.38%,1524
2350,1305,4.62%,28223
2352,144,5.48%,2627
2353,103,5.75%,1790
2354,196,6.02%,3255
2355,39,4.90%,796
2356,26,8.50%,306
2357,246,5.99%,4104
2358,242,6.81%,3555
2359,39,9.80%,398
2360,1020,6.24%,16353
2361,89,9.50%,937
2365,259,6.27%,4131
2369,53,15.82%,335
2370,492,5.79%,8492
2371,64,9.94%,644
2372,387,7.18%,5392
2380,699,6.13%,11398
2381,81,5.71%,1419
2382,106,5.25%,2019
2386,13,5.12%,254
2388,181,6.22%,2910
2390,576,7.50%,7675
2395,60,5.54%,1084
2396,69,9.38%,736
2397,24,6.72%,357
2398,19,2.97%,640
2399,30,4.87%,616
2400,682,7.09%,9613
2401,15,4.85%,309
2402,156,7.58%,2059
2403,47,7.91%,594
2404,164,9.50%,1726
2405,20,3.81%,525
2406,51,8.93%,571
2408,14,3.74%,374
2409,52,4.99%,1042
2410,15,4.05%,370
2415,21,6.46%,325
2420,272,6.83%,3985
2421,109,5.01%,2177
2422,324,5.57%,5812
2423,226,5.87%,3852
2424,26,4.87%,534
2425,95,5.08%,1870
2426,69,6.63%,1041
2427,384,10.71%,3584
2428,1762,6.69%,26320
2429,609,6.40%,9519
2430,2565,6.80%,37717
2431,422,7.15%,5902
2439,243,5.98%,4064
2440,1554,6.58%,23628
2441,237,5.51%,4298
2443,719,8.21%,8762
2444,2703,5.03%,53776
2445,381,4.96%,7676
2446,783,4.96%,15771
2447,416,5.42%,7682
2448,717,6.98%,10272
2449,136,5.99%,2272
2450,2310,4.65%,49678
2452,873,5.40%,16167
2453,116,4.32%,2683
2454,246,3.13%,7850
2455,201,6.22%,3234
2456,746,4.17%,17882
2460,2032,6.38%,31871
2462,151,7.27%,2078
2463,592,6.38%,9284
2464,479,6.50%,7367
2465,22,6.34%,347
2466,155,8.24%,1881
2469,231,6.27%,3684
2470,1182,7.29%,16221
2471,155,5.79%,2678
2472,118,5.04%,2340
2473,194,6.07%,3195
2474,338,5.10%,6621
2475,25,5.64%,443
2476,46,5.19%,887
2477,634,4.77%,13281
2478,1483,4.35%,34096
2479,108,1.91%,5645
2480,2190,4.64%,47220
2481,310,2.06%,15049
2482,200,2.82%,7091
2483,277,2.27%,12225
2484,915,4.31%,21218
2485,780,4.85%,16076
2486,1900,5.54%,34269
2487,541,3.43%,15778
2488,120,3.53%,3403
2489,314,3.75%,8377
2490,18,4.26%,423
2500,2120,4.53%,46820
2502,1188,8.81%,13483
2505,382,7.56%,5052
2506,590,7.51%,7856
2508,316,3.18%,9929
2515,399,3.20%,12468
2516,271,3.75%,7223
2517,679,4.67%,14548
2518,1239,5.85%,21165
2519,1016,5.41%,18786
2525,698,5.49%,12718
2526,1079,6.29%,17149
2527,1517,5.58%,27189
2528,1933,7.67%,25201
2529,1634,5.19%,31501
