year,males,females,all,per_males,per_females,per_persons
2000,29576,25420,54996,323.1,262.4,291.9
2001,31463,26546,58009,335.7,267.6,300.8
2002,34496,29671,64167,360,292.8,325.5
2003,35200,30536,65737,359.2,295.3,326.6
2004,34607,29006,63613,345.7,275.4,309.9
2005,34775,28422,63198,340.3,264.6,301.9
2006,32127,25912,58040,308.2,236.7,271.8
2007,37602,29513,67115,352.3,262.6,306.5
2008,42926,33588,76515,392.8,291.7,341.2
2009,39978,31508,71486,356.8,268.4,311.8
2010,39308,29741,69050,343.5,247.8,294.7
2011,39129,30422,69553,333.9,248.3,290.2
2012,37104,27992,65097,310.8,223.9,266.5
2013,36726,27208,63936,302.1,213.4,256.8
2014,34072,25909,59984,274.5,200.3,236.6
2015,30984,23524,54512,246.5,178.8,211.9
2016,30066,22371,52442,235.7,167.2,200.6
2017,29592,21935,51531,227.9,160,193.1
2018,30094,22425,52523,227.6,160.9,193.4
2019,29214,21321,50541,217.1,149.4,182.4
2020,29573,22307,51883,215.6,153.8,183.9
2021,25873,19865,45741,186,133.6,159.2
