year,males,females,all,per_cent_males,per_cent_females,per_cent_persons
2000,208140,191692,399833,2.3,2,2.1
2001,234590,214610,449201,2.5,2.1,2.3
2002,263196,240115,503312,2.8,2.3,2.6
2003,291789,265772,557563,3,2.5,2.8
2004,318939,289313,608254,3.2,2.7,3
2005,345512,311837,657352,3.4,2.9,3.1
2006,368756,331008,699768,3.6,3,3.3
2007,396498,353038,749540,3.8,3.1,3.4
2008,428350,377942,806297,4,3.2,3.6
2009,456559,400530,857094,4.1,3.3,3.7
2010,483574,420770,904350,4.2,3.4,3.8
2011,508743,440620,949371,4.3,3.5,3.9
2012,531870,457887,989766,4.4,3.5,4
2013,553596,473493,1027100,4.5,3.6,4
2014,571986,486993,1058993,4.5,3.6,4
2015,586650,497778,1084445,4.6,3.6,4
2016,599185,506812,1106019,4.5,3.6,4
2017,609933,514700,1124659,4.5,3.5,4
2018,621681,523409,1145119,4.5,3.5,4
2019,631515,530184,1161734,4.5,3.4,3.9
2020,642170,538412,1180620,4.4,3.4,3.9
2021,648481,543511,1192031,4.3,3.3,3.8
